population,split,k,model,n,positive_rate,mean_roc_auc,sd_roc_auc,ci_lo_seed42,ci_hi_seed42,mean_pr_auc
fixed_cohort,temporal,2,RF,1846.0,0.2313109425785482,0.582581714461918,0.0,,,0.30835359785618477
fixed_cohort,temporal,3,LR,1846.0,0.2313109425785482,0.5997918593894542,0.0,0.5354137339928423,0.6637746187995652,0.3761567276321975
fixed_cohort,temporal,3,XGB,1846.0,0.2313109425785482,0.49973018809744063,6.206335383118183e-17,0.4358201352751487,0.5689545872530042,0.2623130487278351
fixed_cohort,temporal,3,DT,1846.0,0.2313109425785482,0.4847556275053963,0.0,,,0.2599086597771969
fixed_cohort,temporal,3,RF,1846.0,0.2313109425785482,0.50177304964539,0.0,,,0.2698092670965505
fixed_cohort,temporal,5,LR,1846.0,0.2313109425785482,0.5999074930619797,0.0,0.5380759768835485,0.6731078178142161,0.33754689823608275
fixed_cohort,temporal,5,XGB,1846.0,0.2313109425785482,0.49229108849830405,0.0,0.42410690394127915,0.5580045509930547,0.26454391569697455
fixed_cohort,temporal,5,DT,1846.0,0.2313109425785482,0.506109312365094,0.0,,,0.2628865018259061
fixed_cohort,temporal,5,RF,1846.0,0.2313109425785482,0.5451164045636756,0.0,,,0.2922333289213041
fixed_cohort,temporal,10,LR,1846.0,0.2313109425785482,0.5792476102374344,0.0,0.5196624573062666,0.6477373932826719,0.3323006187710904
fixed_cohort,temporal,10,XGB,1846.0,0.2313109425785482,0.6065757015109466,0.0,0.5425891365176186,0.6691227584797654,0.3763650268560055
fixed_cohort,temporal,10,DT,1846.0,0.2313109425785482,0.5834296947271046,0.0,,,0.3057706222635602
fixed_cohort,temporal,10,RF,1846.0,0.2313109425785482,0.6125308356460069,0.0,,,0.3735199317847205
